date,close,high,low,open,pre,change,rate,volume,amount
2019/12/13,3968.2211,3969.4568,3925.2757,3928.0044,3891.0242,77.1969,1.984,14857134900,2.01018885799e+11
2019/12/16,3987.5464,3987.5866,3953.5126,3970.7092,3968.2211,19.3253,0.487,14848667000,2.02154895254e+11
2019/12/17,4041.7996,4067.1355,3984.5193,3987.7426,3987.5464,54.2532,1.3606,20116293700,2.51637865288e+11
2019/12/18,4032.7826,4057.64,4025.3433,4039.724,4041.7996,-9.017,-0.2231,15135176400,1.97620207485e+11
2019/12/19,4027.1495,4038.5435,4014.8951,4034.6159,4032.7826,-5.6331,-0.1397,11790055800,1.52553809117e+11
2019/12/20,4017.2527,4046.7261,4014.9296,4032.1519,4027.1495,-9.8968,-0.2458,12126766200,1.58460232417e+11
2019/12/23,3967.0962,4032.1721,3964.3798,4014.6929,4017.2527,-50.1565,-1.2485,12281624600,1.62048261474e+11
2019/12/24,3992.9581,3994.5092,3963.6653,3971.56,3967.0962,25.8619,0.6519,9598904500,1.22499163329e+11
2019/12/25,3990.8671,4000.5556,3976.3559,3988.6574,3992.9581,-2.091,-0.0524,9493889000,1.31896466969e+11
2019/12/26,4025.9879,4025.9879,3993.5413,3993.6686,3990.8671,35.1208,0.88,10886064000,1.40814968243e+11
2019/12/27,4022.0278,4066.7964,4019.7223,4029.2454,4025.9879,-3.9601,-0.0984,15092641100,1.95090417042e+11
2019/12/30,4081.6334,4083.6901,4001.4951,4015.5195,4022.0278,59.6056,1.482,15597148800,2.16814660017e+11
2019/12/31,4096.5821,4098.1444,4069.0086,4077.7519,4081.6334,14.9487,0.3662,12326425800,1.7311934851e+11
2020/1/2,4152.2408,4172.6555,4121.3487,4121.3487,4096.5821,55.6587,1.3587,18211677200,2.70105532028e+11
2020/1/3,4144.9649,4164.2989,4131.864,4161.2185,4152.2408,-7.2759,-0.1752,14282624400,2.15216288331e+11
2020/1/6,4129.2954,4170.6384,4102.3796,4120.5211,4144.9649,-15.6695,-0.378,17530995300,2.50182071294e+11
2020/1/7,4160.2274,4161.2504,4135.0972,4137.4019,4129.2954,30.932,0.7491,13948903100,1.96389059715e+11
2020/1/8,4112.3172,4149.813,4101.9801,4139.6315,4160.2274,-47.9102,-1.1516,16758585000,2.12406263857e+11
2020/1/9,4164.3697,4165.6574,4143.592,4145.5345,4112.3172,52.0525,1.2658,13688632400,2.00150352942e+11
2020/1/10,4163.1849,4180.9771,4148.4817,4177.5777,4164.3697,-1.1848,-0.0285,11303171900,1.77827413709e+11
2020/1/13,4203.9883,4203.9883,4148.6007,4166.9254,4163.1849,40.8034,0.9801,11969198200,1.99795489709e+11
2020/1/14,4189.8862,4223.5078,4188.0809,4215.1578,4203.9883,-14.1021,-0.3354,12932078300,1.96221263396e+11
2020/1/15,4166.7344,4193.8686,4150.8799,4186.881,4189.8862,-23.1518,-0.5526,10463313600,1.63081930622e+11
2020/1/16,4149.0434,4175.2938,4142.1795,4174.8172,4166.7344,-17.691,-0.4246,10026764200,1.56242505812e+11
2020/1/17,4154.853,4177.0282,4141.6448,4162.1939,4149.0434,5.8096,0.14,9872568200,1.66591591594e+11
2020/1/20,4185.8304,4185.9629,4149.4879,4170.7365,4154.853,30.9774,0.7456,12240914700,2.02692287442e+11
2020/1/21,4114.3085,4165.0203,4113.3251,4165.0203,4185.8304,-71.5219,-1.7087,13052750700,2.04586880494e+11
2020/1/22,4131.9311,4141.1772,4046.4866,4093.8009,4114.3085,17.6226,0.4283,12675876300,2.08136150792e+11
2020/1/23,4003.9013,4103.5244,3972.3933,4093.3229,4131.9311,-128.0298,-3.0985,16035760300,2.50409357701e+11
2020/2/3,3688.3578,3732.1572,3639.9089,3639.9089,4003.9013,-315.5435,-7.8809,15755964700,2.43303105386e+11
2020/2/4,3785.6376,3786.8629,3652.0035,3652.0035,3688.3578,97.2798,2.6375,21393332800,2.98165767621e+11
2020/2/5,3828.5272,3866.0108,3781.613,3801.099,3785.6376,42.8896,1.133,17492552400,2.64042920866e+11
