date,close,open,high,low,high_rate,low_rate,d_close,d_open,d_high,d_low
2020/9/21,4691.43,4750.75,4752.98,4688.72,0.0004694,-0.013056886,-45.66,114.11,15.18,57.02
2020/9/22,4635.76,4654.22,4706.21,4622.11,0.011170508,-0.006899115,-55.67,-96.53,-46.77,-66.61
2020/9/23,4652.33,4639.66,4665.96,4623.55,0.005668519,-0.003472237,16.57,-14.56,-40.25,1.44
2020/9/24,4563.07,4623.95,4631.95,4562.21,0.001730123,-0.013352221,-89.26,-15.71,-34.01,-61.34
2020/9/25,4570.02,4582.48,4599.54,4554.72,0.003722875,-0.006057855,6.95,-41.47,-32.41,-7.49
2020/9/28,4581.91,4582.65,4613.63,4571.15,0.006760281,-0.002509465,11.89,0.17,14.09,16.43
2020/9/29,4591.8,4608.29,4616.68,4586.35,0.001820632,-0.004760985,9.89,25.64,3.05,15.2
2020/9/30,4587.4,4607.58,4634.72,4563.41,0.005890294,-0.009586377,-4.4,-0.71,18.04,-22.94
2020/10/9,4681.14,4663.61,4695.4,4655.08,0.006816608,-0.001829055,93.74,56.03,60.68,91.67
2020/10/12,4823.16,4705.19,4823.27,4704.16,0.025095692,-0.000218907,142.02,41.58,127.87,49.08
2020/10/13,4839.2,4812.9,4845.92,4795.37,0.006860728,-0.003642295,16.04,107.71,22.65,91.21
2020/10/14,4807.1,4830.46,4830.46,4795.91,0,-0.007152528,-32.1,17.56,-15.46,0.54
2020/10/15,4798.74,4810.78,4833.89,4796.26,0.004803795,-0.003018222,-8.36,-19.68,3.43,0.35
2020/10/16,4791.68,4798.92,4825.55,4765.97,0.005549165,-0.006866128,-7.06,-11.86,-8.34,-30.29
2020/10/19,4755.49,4823.49,4849.6,4747.34,0.005413093,-0.015787324,-36.19,24.57,24.05,-18.63
2020/10/20,4793.47,4751.37,4793.47,4739.46,0.008860602,-0.002506645,37.98,-72.12,-56.13,-7.88
2020/10/21,4792.83,4801.63,4801.63,4758.85,0,-0.008909474,-0.64,50.26,8.16,19.39
2020/10/22,4777.98,4780.6,4791.81,4725.5,0.002344894,-0.01152575,-14.85,-21.03,-9.82,-33.35
2020/10/23,4718.49,4775.47,4802.46,4717.1,0.0056518,-0.012222881,-59.49,-5.13,10.65,-8.4
2020/10/26,4691.24,4684.05,4713.39,4639.3,0.00626381,-0.009553698,-27.25,-91.42,-89.07,-77.8
2020/10/27,4699.28,4680.14,4708.46,4671.85,0.006051101,-0.001771315,8.04,-3.91,-4.93,32.55
2020/10/28,4737.27,4703,4753.31,4685.6,0.010697427,-0.003699766,37.99,22.86,44.85,13.75
2020/10/29,4772.92,4683.61,4803.03,4679.25,0.025497426,-0.000930906,35.65,-19.39,49.72,-6.35
2020/10/30,4695.33,4776.47,4778.51,4683.47,0.000427094,-0.019470446,-77.59,92.86,-24.52,4.22
2020/11/2,4720.83,4702.75,4738.02,4695.44,0.007499867,-0.00155441,25.5,-73.72,-40.49,11.97
2020/11/3,4777.56,4743.17,4793.4,4734.17,0.010589964,-0.001897465,56.73,40.42,55.38,38.73
2020/11/4,4813.66,4781.45,4825.46,4770.56,0.009204321,-0.002277552,36.1,38.28,32.06,36.39
2020/11/5,4885.11,4861.34,4885.11,4838,0.004889598,-0.004801145,71.45,79.89,59.65,67.44
2020/11/6,4885.72,4897.63,4897.63,4845.43,0,-0.010658216,0.61,36.29,12.52,7.43
2020/11/9,4981.35,4918.86,4997.8,4918.86,0.016048434,0,95.63,21.23,100.17,73.43
2020/11/10,4953.88,4995.41,4995.41,4928.93,0,-0.013308217,-27.47,76.55,-2.39,10.07
2020/11/11,4904.9,4937.76,4957.58,4901.71,0.004013966,-0.007300881,-48.98,-57.65,-37.83,-27.22
2020/11/12,4908.46,4916.77,4926.34,4891.51,0.0019464,-0.005137519,3.56,-20.99,-31.24,-10.2
2020/11/13,4856.85,4886.98,4886.98,4825.76,0,-0.012527164,-51.61,-29.79,-39.36,-65.75
2020/11/16,4904.17,4880.96,4904.17,4848.62,0.004755212,-0.006625746,47.32,-6.02,17.19,22.86
2020/11/17,4894.79,4903.12,4909.29,4865.39,0.001258382,-0.0076951,-9.38,22.16,5.12,16.77
2020/11/18,4891.67,4889.67,4911.09,4870.72,0.004380664,-0.003875517,-3.12,-13.45,1.8,5.33
2020/11/19,4927.99,4880.92,4939.79,4870.2,0.012061251,-0.002196307,36.32,-8.75,28.7,-0.52
2020/11/20,4943.29,4928.22,4947.43,4922.59,0.003897959,-0.0011424,15.3,47.3,7.64,52.39
2020/11/23,5005.03,4954.6,5029.65,4940.45,0.01514754,-0.002855932,61.74,26.38,82.22,17.86
2020/11/24,4974.29,4997.05,5001.06,4960.98,0.000802473,-0.007218259,-30.74,42.45,-28.59,20.53
2020/11/25,4910.7,4992.75,5004.77,4910.7,0.002407491,-0.016433829,-63.59,-4.3,3.71,-50.28
2020/11/26,4919.59,4908.32,4925.29,4867.82,0.003457395,-0.008251296,8.89,-84.43,-79.48,-42.88
2020/11/27,4980.77,4930.59,4980.77,4917.35,0.010177281,-0.002685277,61.18,22.27,55.48,49.53
2020/11/30,4960.25,4994.11,5055.19,4960.25,0.012230407,-0.006779987,-20.52,63.52,74.42,42.9
2020/12/1,5067.1,4963.13,5072.55,4963.13,0.022046571,0,106.85,-30.98,17.36,2.88
2020/12/2,5067.14,5072.98,5090.61,5043.31,0.003475275,-0.005848633,0.04,109.85,18.06,80.18
2020/12/3,5057.06,5065.45,5072.3,5033.79,0.001352298,-0.006250185,-10.08,-7.53,-18.31,-9.52
2020/12/4,5065.92,5049.52,5072.39,5017.85,0.004529143,-0.006271883,8.86,-15.93,0.09,-15.94
2020/12/7,5022.23,5065.73,5067.87,5014.61,0.000422447,-0.010091339,-43.69,16.21,-4.52,-3.24
2020/12/8,5009.88,5029.11,5043.06,4998.92,0.002773851,-0.00600305,-12.35,-36.62,-24.81,-15.69
2020/12/9,4942.7,5022.38,5033.64,4942.52,0.002241965,-0.015900828,-67.18,-6.73,-9.42,-56.4
2020/12/10,4940.52,4931.29,4962.74,4919.77,0.006377642,-0.002336103,-2.18,-91.09,-70.9,-22.75
2020/12/11,4889.63,4957.82,4957.82,4849.35,0,-0.021878568,-50.89,26.53,-4.92,-70.42
2020/12/14,4934.83,4903.63,4937.26,4887.66,0.006858185,-0.003256771,45.2,-54.19,-20.56,38.31
2020/12/15,4945.1,4931.6,4954.19,4904.79,0.004580663,-0.00543637,10.27,27.97,16.93,17.13
2020/12/16,4953.87,4957.3,4968.86,4938.19,0.002331915,-0.003854921,8.77,25.7,14.67,33.4
2020/12/17,5017.48,4960.73,5021.62,4950.37,0.012274403,-0.002088402,63.61,3.43,52.76,12.18
2020/12/18,4999.97,5014.32,5027.44,4979,0.002616506,-0.007043826,-17.51,53.59,5.82,28.63
2020/12/21,5046.84,4995.76,5048.51,4970,0.010558954,-0.005156373,46.87,-18.56,21.07,-9
2020/12/22,4964.77,5034.98,5055.13,4960.95,0.004002002,-0.014703137,-82.07,39.22,6.62,-9.05
2020/12/23,5007.12,4977.3,5028.45,4968.15,0.010276656,-0.001838346,42.35,-57.68,-26.68,7.2
2020/12/24,5000.02,5006,5033.04,4979.24,0.005401518,-0.005345585,-7.1,28.7,4.59,11.09
2020/12/25,5042.01,4985.77,5042.1,4973.68,0.011298155,-0.002424901,41.99,-20.23,9.06,-5.56
2020/12/28,5064.41,5042.94,5089.34,5037.86,0.009200982,-0.001007349,22.4,57.17,47.24,64.18
2020/12/29,5042.94,5071.45,5077.42,5034.31,0.001177178,-0.007323349,-21.47,28.51,-11.92,-3.55
